Rank	Mantissa	Log	Amount	Code	Type	Amount	FirstTwo	First	Second		Diffs * 1000	First-Two	
			-0.06004			-0.01636	$16.00	$1.00	$6.00		9143	$91	
			-0.05995			-0.02831	$28.00	$2.00	$8.00		5151	$51	
			-0.05989			0.04070	$40.00	$4.00	$0.00		0	$0	
			-0.05989			-0.02800	$28.00	$2.00	$8.00		1435	$14	
			-0.05988			0.00000	$0.00	$0.00	#VALUE!		35380	$35	
			-0.05953			0.01143	$11.00	$1.00	$1.00		17161	$17	
			-0.05935			-0.02260	$22.00	$2.00	$2.00		9878	$98	
			-0.05926			-0.02868	$28.00	$2.00	$8.00		18433	$18	
			-0.05907			0.00000	$0.00	$0.00	#VALUE!		14276	$14	
			-0.05893			-0.00619	$61.00	$6.00	$1.00		3197	$31	
			-0.058897002			-0.05989	$59.00	$5.00	$9.00		14058	$14	
			-0.05876			0.00000	$0.00	$0.00	#VALUE!		8055	$80	
			-0.05868			0.07034	$70.00	$7.00	$0.00		1796	$17	
			-0.05866			0.01762	$17.00	$1.00	$7.00		980	$98	
			-0.05865			-0.02340	$23.00	$2.00	$3.00		5149	$51	
			-0.05860			0.02396	$23.00	$2.00	$3.00		507	$50	
			-0.05859			0.01170	$11.00	$1.00	$1.00		8091	$80	
			-0.05851			0.04625	$46.00	$4.00	$6.00		1705	$17	
			-0.05849			0.01105	$11.00	$1.00	$1.00		16026	$16	
			-0.05833			-0.01618	$16.00	$1.00	$6.00		8091	$80	
			-0.05825			-0.03911	$39.00	$3.00	$9.00		5442	$54	
			-0.05820			0.02313	$23.00	$2.00	$3.00		6068	$60	
			-0.05814			-0.00542	$54.00	$5.00	$4.00		528	$52	
			-0.058132045			0.00000	$0.00	$0.00	#VALUE!		31067	$31	
			-0.05782			-0.00591	$59.00	$5.00	$9.00		16030	$16	
			-0.05766			-0.03429	$34.00	$3.00	$4.00		4790	$47	
			-0.05761			0.00616	$61.00	$6.00	$1.00		608	$60	
			-0.05760709			-0.01788	$17.00	$1.00	$7.00		4739	$47	
			-0.057559697			-0.07762	$77.00	$7.00	$7.00		8271	$82	
			-0.05748			0.03896	$38.00	$3.00	$8.00		33413	$33	
			-0.05714			-0.01250	$12.00	$1.00	$2.00		0	$0	
			-0.05714			0.01266	$12.00	$1.00	$2.00		12262	$12	
			-0.05702			-0.00650	$64.00	$6.00	$4.00		12475	$12	
			-0.056895485			0.00654	$65.00	$6.00	$5.00		1266	$12	
			-0.05688			0.01250	$12.00	$1.00	$2.00		2139	$21	
			-0.056861428			-0.01235	$12.00	$1.00	$2.00		18305	$18	
			-0.05668			-0.01250	$12.00	$1.00	$2.00		4318	$43	
			-0.05664			0.01266	$12.00	$1.00	$2.00		29717	$29	
			-0.05634			0.06850	$68.00	$6.00	$8.00		17946	$17	
			-0.05616			0.01778	$17.00	$1.00	$7.00		3612	$36	
			-0.05612			-0.01747	$17.00	$1.00	$7.00		2595	$25	
			-0.05610			-0.02901	$29.00	$2.00	$9.00		2173	$21	
			-0.05607			-0.00627	$62.00	$6.00	$2.00		2543	$25	
			-0.056049338			-0.04219	$42.00	$4.00	$2.00		8104	$81	
			-0.05597			-0.08253	$82.00	$8.00	$2.00		7055	$70	
			-0.05590			-0.06898	$68.00	$6.00	$8.00		6852	$68	
			-0.05583			0.01482	$14.00	$1.00	$4.00		3524	$35	
			-0.05579			0.02921	$29.00	$2.00	$9.00		887	$88	
			-0.05579			-0.01419	$14.00	$1.00	$4.00		8079	$80	
			-0.05570			-0.07887	$78.00	$7.00	$8.00		9620	$96	
			-0.05560814			0.07813	$78.00	$7.00	$8.00		28899	$28	
			-0.05532			-0.02203	$22.00	$2.00	$2.00		5599	$55	
			-0.05526			0.00771	$77.00	$7.00	$7.00		2506	$25	
			-0.05524			-0.03706	$37.00	$3.00	$7.00		44357	$44	
			-0.05479			-0.01527	$15.00	$1.00	$5.00		15085	$15	
			-0.05464			0.00000	$0.00	$0.00	#VALUE!		1598	$15	
			-0.054627697			-0.02295	$22.00	$2.00	$2.00		7232	$72	
			-0.05456			-0.05524	$55.00	$5.00	$5.00		7501	$75	
			-0.054480367			-0.00874	$87.00	$8.00	$7.00		13254	$13	
			-0.05435			0.00881	$88.00	$8.00	$8.00		5964	$59	
			-0.05429			0.02487	$24.00	$2.00	$4.00		0	$0	
			-0.05429			0.02492	$24.00	$2.00	$4.00		21816	$21	
			-0.05407			0.00768	$76.00	$7.00	$6.00		6924	$69	
			-0.05400			0.02349	$23.00	$2.00	$3.00		32990	$32	
			-0.05367			0.07010	$70.00	$7.00	$0.00		9946	$99	
			-0.05357			0.01449	$14.00	$1.00	$4.00		1494	$14	
			-0.05356			0.03543	$35.00	$3.00	$5.00		36500	$36	
			-0.05319			0.01380	$13.00	$1.00	$3.00		4241	$42	
